filename,device,film,location,description,date
dc1.jpg,Rollei 35S,Kodak Ektachrome E100,"Washington, D.C.",Jefferson Memorial across the Tidal Basin.,2026-04
dc2.jpg,Rollei 35S,Kodak Ektachrome E100,"Washington, D.C.",Washington Monument across the Tidal Basin.,2026-04
centralpark.jpeg,Rollei 35S,Kodak Ektachrome E100,"New York, NY",Cherry blossoms at Central Park.,2026-04
everglades1.jpg,Rollei 35S,Kodak Ektachrome E100,"Miami, FL",Shark Valley Observation Tower in Everglades National Park.,2026-04
everglades2.jpg,Rollei 35S,Kodak Ektachrome E100,"Miami, FL",Lily-covered wetland in Everglades National Park.,2026-04
nyc1.JPG,Olympus 35 RC,Kodak Ektachrome E100,"New York, NY",The Con Edison powerplant and an E 13th St sign beneath a partly cloudy sky.,2026-05
flowers1.JPG,Olympus 35 RC,Kodak Ektachrome E100,"New York, NY",Pink roses blooming against lush foliage near Stuyvesant Town-Peter Cooper Village.,2026-05
flowers2.JPG,Olympus 35 RC,Kodak Ektachrome E100,"New York, NY",Clustered white flowers on a green bush along the Hudson River Waterfront Greenway.,2026-05
